"filename", "language", "Ruby", "Ruby ERB", "JavaScript", "SCSS", "JSON", "Markdown", "YAML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\kenz\3D Objects\geekcycle\config\cloudinary.yml", "YAML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\kenz\3D Objects\geekcycle\config\database.yml", "YAML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 9, 4, 28
"c:\Users\kenz\3D Objects\geekcycle\config\environment.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\kenz\3D Objects\geekcycle\config\environments\development.rb", "Ruby", 27, 0, 0, 0, 0, 0, 0, 0, 0, 28, 22, 77
"c:\Users\kenz\3D Objects\geekcycle\config\environments\production.rb", "Ruby", 24, 0, 0, 0, 0, 0, 0, 0, 0, 68, 29, 121
"c:\Users\kenz\3D Objects\geekcycle\config\environments\test.rb", "Ruby", 20, 0, 0, 0, 0, 0, 0, 0, 0, 23, 17, 60
"c:\Users\kenz\3D Objects\geekcycle\config\initializers\application_controller_renderer.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 9
"c:\Users\kenz\3D Objects\geekcycle\config\initializers\assets.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 15
"c:\Users\kenz\3D Objects\geekcycle\config\initializers\backtrace_silencers.rb", "Ruby", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 9
"c:\Users\kenz\3D Objects\geekcycle\config\initializers\content_security_policy.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 31
"c:\Users\kenz\3D Objects\geekcycle\config\initializers\cookies_serializer.rb", "Ruby", 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"c:\Users\kenz\3D Objects\geekcycle\config\initializers\devise.rb", "Ruby", 15, 0, 0, 0, 0, 0, 0, 0, 0, 242, 55, 312
"c:\Users\kenz\3D Objects\geekcycle\config\initializers\filter_parameter_logging.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7
"c:\Users\kenz\3D Objects\geekcycle\config\initializers\inflections.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 17
"c:\Users\kenz\3D Objects\geekcycle\config\initializers\mime_types.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Users\kenz\3D Objects\geekcycle\config\initializers\permissions_policy.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\kenz\3D Objects\geekcycle\config\initializers\time_formats.rb", "Ruby", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
